Nombre,Final,Máximo,Mínimo,Volumen,Efectivo
ACCIONA,95.95,96.75,94.4,84962,816611.0
ACERINOX,8668.0,8672.0,8468.0,88599,763381.0
ACS,37.28,37.66,37.22,655982,2451729.0
AENA,167.1,167.5,166.1,133738,2233610.0
AMADEUS,69.96,70.64,69.56,640476,4479547.0
ARCELORMIT.,14152.0,14318.0,14.08,702841,998965.0
BA.SABADELL,1.0165,1033.0,1.0165,12358512,1263765.0
BA.SANTANDER,4.02,4.0675,4.01,36129692,14576544.0
BANKIA,2249.0,2262.0,2224.0,3024454,680354.0
BANKINTER,6.56,6604.0,6522.0,1375976,903020.0
BBVA,5024.0,5.05,4969.0,26447612,13256015.0
CAIXABANK,2763.0,2806.0,2762.0,13031097,3623922.0
CELLNEX,30.17,30.7,30.17,857237,2596529.0
CIE AUTOMOT.,23.44,23.74,23.4,99506,234309.0
ENAGAS,25.6,25.66,25.07,84254,2152477.0
ENCE,3882.0,3974.0,3846.0,2099698,821983.0
ENDESA,22.95,23.03,22.62,1236799,2823346.0
FERROVIAL,21.61,21.72,21.38,2065931,4465605.0
GRIFOLS CL.A,23.3,23.6,23.27,719503,1678755.0
IAG,5.3,5.46,5292.0,2155081,1156195.0
IBERDROLA,8.45,8.45,8262.0,15637958,13142605.0
INDITEX,24.93,25.19,24.87,2600144,6501292.0
INDRA A,9.56,9685.0,9535.0,39206,375557.0
INM.COLONIAL,9915.0,9915.0,9745.0,671753,664038.0
MAPFRE,2654.0,2654.0,2.62,3045972,806313.0
MEDIASET,6446.0,6592.0,6446.0,2647557,1727704.0
MELIA HOTELS,8.14,8.19,8.02,48021,391493.0
MERLIN,12.08,12.08,11.83,777543,935777.0
NATURGY,26.7,26.77,26.53,2100737,5598654.0
R.E.C.,19705.0,19875.0,19675.0,1246171,2458533.0
REPSOL,14515.0,14605.0,14.46,5046648,7333378.0
SIEMENS GAME,14.33,14.39,14155.0,1054847,1508456.0
TEC.REUNIDAS,23.0,23.2,22.78,1221,280719.0
TELEFONICA,7204.0,7256.0,7185.0,9913249,7156499.0
VISCOFAN,48.46,49.12,48.46,6771,329543.0
